length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
27,2,1,7894,1,271,54,0
26,2,73,7970,123,261,263,39
26,1,2,3669,4,130,61,0
27,2,0,7296,1,271,54,0
26,3,252,19047,60,417,81,10
26,2,2,7136,3,261,63,0
25,3,30021,53068,28886,401,8699,922
24,4,30150,71639,83208,551,3181,-1
23,2,5,5791,8,231,61,2
24,3,1898,21656,1947,385,1592,1045
25,2,52,6459,105,251,72,0
24,2,2,6100,4,241,54,0
25,2,7,6670,14,251,63,0
24,4,681,49031,776,551,255,56
29,3,935,22425,669,465,1178,314
27,4,6495,47989,10340,620,333,4646
28,4,2,44765,4,643,68,0
30,2,173,8317,266,301,182,54
30,2,17,8359,26,301,112,3
29,4,11,51464,10,666,86,0
29,2,1,8199,2,291,64,0
30,2,11,8549,18,301,77,0
38,2,243,16355,165,381,195,108
38,2,12,14477,14,381,86,0
37,3,6482,47967,6994,593,455,1760
38,1,1,5518,1,190,78,0
37,3,209,36580,14,593,86,0
39,4,4629,132177,5385,896,254,115
38,2,13,17049,16,381,111,0
39,2,1627,17838,811,391,1675,6
36,3,228,37150,70,577,189,29
38,4,30044,136366,51968,873,260,-1
20,1,0,3012,1,100,40,0
20,2,1,5137,3,201,50,0
