length, lev_dist, lev_margin, lang_size, time
46, 2, 1, 37720, 3.584958625s
34, 2, 1, 5863, 838.422334ms
95, 1, 0, 2, 5.497794334s
97, 1, 0, 70, 6.112843292s
60, 1, 0, 62, 1.590441917s
45, 2, 1, 30873, 1.675775708s
72, 1, 0, 26, 2.576274708s
58, 1, 0, 4, 1.220051583s
64, 2, 1, 59089, 4.243881708s
13, 1, 0, 78, 60.876792ms
8, 2, 1, 5195, 160.977583ms
28, 1, 0, 6, 258.665375ms
33, 1, 0, 20, 308.454334ms
42, 1, 0, 53, 601.854917ms
35, 3, 1, 21865, 2.151584375s
28, 2, 1, 6636, 325.247667ms
20, 1, 0, 37, 129.676541ms
44, 1, 0, 41, 653.783584ms
35, 1, 0, 29, 385.805625ms
12, 1, 0, 12, 190.943166ms
57, 1, 0, 28, 1.260205542s
78, 1, 0, 56, 3.111674375s
66, 2, 1, 24850, 4.076587417s
47, 2, 1, 12594, 3.400109625s
50, 1, 0, 7, 726.048417ms
93, 3, 2, 2808110, 57.644123875s
35, 1, 0, 40, 282.644542ms
29, 1, 0, 9, 167.102667ms
16, 1, 0, 10, 28.153458ms
16, 3, 2, 3553168, 7.552437375s
79, 1, 0, 29, 2.755702125s
12, 1, 0, 102, 48.606291ms
17, 1, 0, 41, 49.343083ms
68, 1, 0, 17, 2.071684125s
29, 1, 0, 36, 177.366542ms
51, 2, 1, 6811, 2.033725958s
18, 2, 1, 2748, 303.128667ms
72, 1, 0, 80, 2.076793125s
56, 3, 2, 11481040, 30.006269333s
30, 3, 1, 181234, 3.777992042s
12, 3, 2, 98281, 1.003285125s
30, 1, 0, 2, 369.808208ms
23, 2, 0, 311, 294.772458ms
34, 2, 1, 12707, 1.359401625s
29, 1, 0, 19, 150.810875ms
9, 3, 2, 97953, 1.477491542s
63, 1, 0, 8, 1.592255959s
30, 3, 2, 57774, 4.770641291s
36, 1, 0, 81, 302.056834ms
44, 3, 2, 1157505, 16.187789958s
13, 1, 0, 68, 36.778417ms
22, 1, 0, 85, 123.585708ms
11, 1, 0, 17, 14.383458ms
16, 2, 1, 5591, 439.536542ms
13, 3, 2, 198316, 2.234476292s
36, 1, 0, 79, 288.940459ms
86, 1, 0, 121, 3.454420833s
61, 2, 1, 78395, 7.825835959s
86, 1, 0, 9, 3.186705208s
28, 2, 1, 2801, 797.417042ms
53, 2, 1, 107048, 14.966182333s
25, 1, 0, 94, 160.864209ms
25, 1, 0, 31, 166.478625ms
33, 2, 1, 1422, 956.898875ms
28, 2, 1, 13620, 807.042ms
77, 1, 0, 58, 3.465173083s
97, 1, 0, 13, 5.851998709s
11, 3, 2, 1144472, 24.284925791s
39, 1, 0, 28, 609.007500ms
74, 2, 1, 83536, 5.773341375s
33, 3, 2, 1564362, 28.169363875s
21, 2, 1, 3035, 273.145916ms
25, 1, 0, 34, 165.449459ms
36, 1, 0, 2, 477.333292ms
68, 2, 1, 34167, 4.428125292s
16, 1, 0, 10, 39.394834ms
43, 1, 0, 49, 556.582916ms
29, 3, 1, 72055, 1.559003s
37, 1, 0, 13, 442.216ms
39, 2, 1, 24754, 1.371933667s
50, 1, 0, 76, 774.165125ms
95, 1, 0, 80, 5.399532083s
18, 3, 2, 450595, 12.889998083s
